,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,shelburne,44.08,-80.2,78.01,53,75,12.75,CA,1595272523
390,marmora,44.46,7.09,80.01,73,0,4.7,IT,1595272756
391,camacha,33.08,-16.33,71.6,64,40,19.46,PT,1595272756
392,kizukuri,40.81,140.39,69.01,94,100,2.62,JP,1595272756
393,yamada,39.47,141.95,66.72,91,100,5.66,JP,1595272757
394,katsuura,35.13,140.3,75,92,100,7,JP,1595272234
395,boguchany,58.38,97.45,55.11,70,100,3.4,RU,1595272757
396,seredeyskiy,54.05,35.23,59.54,94,0,5.93,RU,1595272757
397,ilulissat,69.22,-51.1,57.2,41,75,4.7,GL,1595272235
398,abu samrah,35.3,37.18,80.24,38,0,8.7,SY,1595272758
399,victoria,22.29,114.16,84,79,98,4.83,HK,1595272624
400,voi,-3.39,38.56,68.07,71,0,11.95,KE,1595272758
401,mianyang,31.46,104.75,69.6,96,100,2.86,CN,1595272758
402,leh,34.17,77.58,57.09,47,53,3.85,IN,1595272196
403,bothell,47.76,-122.21,82,69,1,6.93,US,1595272759
404,nchelenge,-9.35,28.73,67.05,58,0,4.27,ZM,1595272759
405,erdemli,36.6,34.31,80.71,64,0,5.68,TR,1595272759
406,jiuquan,39.74,98.52,74.68,19,100,3.51,CN,1595272759
407,inongo,-1.95,18.27,72.95,49,0,2.08,CD,1595272760
408,lasa,46.62,10.7,68,49,20,1.12,IT,1595272050
409,xingyi,24.19,102.82,60.91,99,100,3.49,CN,1595272760
410,gambela,8.25,34.58,70.47,92,100,2.68,ET,1595272761
411,loa janan,-0.58,117.09,74.05,98,46,2.24,ID,1595272761
412,kholtoson,50.3,103.31,50.85,85,19,2.24,RU,1595272761
413,burnie,-41.07,145.92,46,88,66,10,AU,1595272762
414,gallup,35.53,-108.74,89.6,14,1,4.7,US,1595272518
415,porbandar,21.64,69.61,83.82,81,91,16.31,IN,1595272762
416,hervey bay,-25.3,152.85,55.99,84,100,5.01,AU,1595272763
417,hun,29.13,15.95,84.79,36,0,18.59,LY,1595272763
418,tiksi,71.69,128.87,45.3,85,100,13.62,RU,1595272217
419,breves,-1.68,-50.48,90.86,46,80,4.34,BR,1595272763
420,nautla,20.22,-96.78,87.91,57,70,11.68,MX,1595272764
421,constitucion,-35.33,-72.42,56.21,77,87,10.29,CL,1595272205
422,suruc,36.98,38.42,86,25,0,16.11,TR,1595272764
423,amalapuram,16.58,82.02,82.24,84,100,6.8,IN,1595272765
424,andenes,69.31,16.12,55.4,82,75,4.7,NO,1595272765
425,piacabucu,-10.41,-36.43,77.7,73,42,11.16,BR,1595272765
426,sawakin,19.11,37.33,96.67,28,100,5.5,SD,1595272765
427,otradnoye,59.78,30.82,69.8,60,20,2.24,RU,1595272766
428,atar,20.52,-13.05,107.6,17,20,2.24,MR,1595272244
429,enid,36.4,-97.88,96.8,46,20,9.17,US,1595272766
430,poya,-21.35,165.15,65.12,71,98,3.18,NC,1595272766
431,odemira,37.6,-8.64,82.99,78,0,10,PT,1595272767
432,sorland,67.67,12.69,57.2,71,40,6.93,NO,1595272240
433,panzhihua,26.59,101.71,72.32,77,100,1.1,CN,1595272767
434,nkowakowa,-23.89,30.29,57.2,24,0,6.93,ZA,1595272767
435,oranjemund,-28.55,16.43,65.07,37,0,4.81,NA,1595272768
436,omsukchan,62.53,155.8,55.83,68,0,3.78,RU,1595272768
437,sungaipenuh,-2.08,101.38,65.66,95,100,3.85,ID,1595272768
438,ilhabela,-23.78,-45.36,74.89,58,0,4.29,BR,1595272768
439,salekhard,66.53,66.6,56.23,70,50,7.25,RU,1595272222
440,keti bandar,24.14,67.45,86.5,77,100,22.28,PK,1595272653
441,liverpool,53.41,-2.98,60.8,55,20,8.05,GB,1595272631
442,iranshahr,27.2,60.68,100.4,9,83,4.7,IR,1595272769
443,zabol,32.25,67.25,74.68,19,0,19.17,AF,1595272770
444,petrokamenskoye,57.72,60.65,59.86,73,45,9.95,RU,1595272770
445,maniitsoq,65.42,-52.9,45.73,90,100,6.69,GL,1595272770
446,murchison,-41.8,172.33,49.48,85,100,1.43,NZ,1595272684
447,burns lake,54.23,-125.75,72.61,44,75,6.38,CA,1595272771
448,egvekinot,66.32,-179.17,44.49,74,74,4.92,RU,1595272771
449,goderich,43.75,-81.72,73.99,69,0,9.6,CA,1595272522
450,noyabrsk,63.2,75.45,54.19,76,51,12.15,RU,1595272772
451,oktyabrskiy,54.48,53.47,61.38,88,0,4.07,RU,1595272772
452,sanming,26.25,117.62,78.51,77,100,1.97,CN,1595272772
453,puerto escondido,15.85,-97.07,86,70,75,8.05,MX,1595272209
454,neenah,44.19,-88.46,75.99,38,75,6.93,US,1595272531
455,san cristobal,7.77,-72.22,89.6,46,75,23.04,VE,1595272773
456,tuatapere,-46.13,167.68,39,83,89,3,NZ,1595272238
457,yatou,37.15,122.38,69.01,88,0,5.61,CN,1595272774
458,nouadhibou,20.93,-17.03,86,55,0,5.82,MR,1595272774
459,cabildo,-38.48,-61.9,46.99,99,88,1.99,AR,1595272774
460,vologda,59.22,39.89,59.68,89,100,0.38,RU,1595272775
461,kirillov,59.86,38.38,60.35,91,100,1.72,RU,1595272775
462,maragogi,-9.01,-35.22,76.62,74,89,11.25,BR,1595272653
463,lichuan,30.3,108.85,63.61,96,100,3.85,CN,1595272775
464,beyneu,45.32,55.2,89.37,21,0,6.82,KZ,1595272776
465,klyuchi,52.27,79.17,68.59,87,64,9.86,RU,1595272776
466,seydisehir,37.42,31.85,70.66,51,0,2.15,TR,1595272776
467,clyde river,70.47,-68.59,42.8,100,90,12.75,CA,1595272215
468,aksha,50.28,113.29,47.28,70,78,4.29,RU,1595272777
469,dakar,14.69,-17.44,87.8,70,40,9.17,SN,1595272777
470,grand-santi,4.25,-54.38,80.83,92,98,4.18,GF,1595272230
471,villazon,-22.09,-65.59,67.93,17,77,8.28,BO,1595272777
472,rio grande,-32.03,-52.1,87.8,40,98,8.05,BR,1595272050
473,hami,42.8,93.45,87.15,20,100,6.11,CN,1595272175
474,redlands,34.06,-117.18,90,21,5,3.36,US,1595272576
475,tobermory,45.25,-81.67,69.01,74,24,8.99,CA,1595272778
476,luena,-11.78,19.92,57.02,47,0,3.42,AO,1595272778
477,mulanur,10.77,77.72,77.85,79,100,10.78,IN,1595272779
478,santa fe,-31.63,-60.7,74.37,62,100,1.79,AR,1595272500
479,oranjestad,12.52,-70.03,89.6,66,20,25.28,AW,1595272536
480,shumikha,55.23,63.3,63.36,95,100,7.29,RU,1595272780
481,ust-karsk,52.7,118.81,49.66,90,54,5.5,RU,1595272780
482,berlevag,70.86,29.09,50,100,90,3.36,NO,1595272780
483,arlit,18.74,7.39,99.39,19,22,7.85,NE,1595272248
484,shangqiu,34.45,115.65,72.45,81,100,4.72,CN,1595272781
485,vanimo,-2.67,141.3,78.3,82,93,5.97,PG,1595272006
486,vestmannaeyjar,63.44,-20.27,53.6,58,20,8.05,IS,1595272244
487,kaniama,-7.57,24.18,68.67,30,0,3.65,CD,1595272781
488,kamenka,51.32,42.77,64.99,78,0,4.43,RU,1595272072
489,menongue,-14.66,17.69,55.31,44,5,3.78,AO,1595272782
490,trinidad,-14.83,-64.9,91.4,52,20,5.82,BO,1595272783
491,cururupu,-1.83,-44.87,86.2,55,24,6.62,BR,1595272783
492,shakawe,-18.37,21.85,57.92,36,0,5.14,BW,1595272783
493,ust-nera,64.57,143.2,64.54,53,0,4.21,RU,1595272783
494,devils lake,48.11,-98.87,71.6,68,1,3.36,US,1595272784
495,kieta,-6.22,155.63,77.25,77,95,4.27,PG,1595272784
496,salalah,17.02,54.09,80.6,94,75,4.7,OM,1595272784
497,mabama,-5.13,32.53,66.2,55,100,5.82,TZ,1595272785
498,along,28.17,94.77,72.43,90,100,0.69,IN,1595272785
499,manokwari,-0.87,134.08,79.86,68,28,5.01,ID,1595272785
500,mersing,2.43,103.84,77,94,75,3.36,MY,1595272786
501,dauphin,51.15,-100.05,64.4,82,40,10.29,CA,1595272786
502,qui nhon,13.77,109.23,78.3,87,97,4.83,VN,1595272786
503,aden,12.78,45.04,87.85,63,100,15.59,YE,1595272641
504,balad,34.02,44.15,98.98,9,0,14.72,IQ,1595272787
505,novo aripuana,-5.12,-60.38,95.58,34,0,3.76,BR,1595272787
506,boulsa,12.67,-0.58,86.25,55,53,8.68,BF,1595272787
507,namie,37.48,141,70,98,100,3.42,JP,1595272788
508,vidim,56.41,103.11,43.3,79,0,1.59,RU,1595272788
509,kabanjahe,3.1,98.49,75.2,100,40,3.36,ID,1595272788
510,edson,53.58,-116.44,71.6,40,40,5.82,CA,1595272788
511,yaounde,3.87,11.52,71.6,94,40,8.05,CM,1595272789
512,berdigestyakh,62.1,126.7,65.52,96,100,5.99,RU,1595272789
513,aswan,24.09,32.91,97.54,14,0,16.44,EG,1595272789
514,santana do acarau,-3.46,-40.21,87.69,47,98,6.67,BR,1595272789
515,koslan,63.46,48.9,60.55,66,0,6.46,RU,1595272790
516,sobolevo,54.43,31.9,60.51,89,92,5.08,RU,1595272790
517,dongsheng,39.82,109.98,69.58,46,2,10.76,CN,1595272791
518,semey,50.41,80.23,71.31,55,0,7.78,KZ,1595272791
519,satana,20.58,74.2,77.43,81,100,7.85,IN,1595272791
520,chabahar,25.29,60.64,85.59,81,2,9.62,IR,1595272791
521,chaihe,44.77,129.7,58.77,94,0,2.95,CN,1595272792
522,jumla,29.27,82.18,61.3,68,100,3.36,NP,1595272792
523,deputatskiy,69.3,139.9,61.12,79,0,2.1,RU,1595272605
524,sernur,56.93,49.15,61.14,91,60,1.48,RU,1595272793
525,barranca,-10.75,-77.77,65.03,70,12,10.58,PE,1595272793
526,gizo,-8.1,156.84,80.4,83,34,16.04,SB,1595272793
527,tiarei,-17.53,-149.33,78.8,74,20,2.24,PF,1595272794
528,colonelganj,27.13,81.7,82.13,85,100,5.08,IN,1595272794
529,solnechnyy,50.72,136.63,65.34,95,100,4.27,RU,1595272794
530,la rioja,42.25,-2.5,86,42,20,4.7,ES,1595272795
531,plettenberg bay,-34.05,23.37,59.77,88,43,6.6,ZA,1595272795
532,nagapattinam,10.77,79.83,83.59,75,100,11.43,IN,1595272795
533,pindiga,9.98,10.93,73.26,91,100,4.68,NG,1595272795
534,aiea,21.38,-157.93,84.2,54,40,11.41,US,1595272796
535,pangnirtung,66.15,-65.71,46.4,93,90,9.17,CA,1595272513
536,tabou,4.42,-7.35,76.87,87,50,9.64,CI,1595272796
537,khash,28.22,61.22,77.77,17,22,10,IR,1595272796
538,kurilsk,45.23,147.88,55.22,90,59,5.01,RU,1595272797
539,hokitika,-42.72,170.97,52.84,82,80,12.95,NZ,1595272797
540,aksu,41.12,80.26,72.3,50,100,7.87,CN,1595272797
541,high rock,26.62,-78.28,86,74,75,13.87,BS,1595272797
542,babu,24.42,111.52,76.77,85,95,3.38,CN,1595272798
543,oyotun,-6.85,-79.3,71.6,60,0,16.11,PE,1595272798
544,hannan,34.32,135.23,77,100,100,3.36,JP,1595272798
545,ixtapa,20.7,-105.2,90,74,40,10.29,MX,1595272799
546,lancut,50.07,22.23,69.8,73,93,2.24,PL,1595272799
547,otofuke,42.99,143.2,60.62,95,100,1.77,JP,1595272799
548,amahai,-3.33,128.92,76.96,87,59,5.73,ID,1595272800
549,centralia,46.72,-122.95,82.99,51,1,6.93,US,1595272780
550,fairbanks,64.84,-147.72,66.2,59,1,5.82,US,1595272762
551,umea,63.83,20.26,64.4,88,90,3.36,SE,1595272800
552,horta,38.53,-28.63,73.4,60,75,5.82,PT,1595272801
